Date,BDI_Index,Bunker_Fuel_USD,Coal_Price_USD,Port_Wait_Days,Freight_Rate_USD
2021-04-10,2077.0,538.38,146.32,5,36.47
2021-04-11,2103.1,532.37,148.08,2,35.44
2021-04-12,2082.0,537.22,149.31,2,36.04
2021-04-13,2063.8,537.48,145.78,6,37.42
2021-04-14,2122.7,535.04,144.71,3,36.22
2021-04-15,2110.9,538.09,145.79,2,36.42
2021-04-16,2140.3,540.75,142.49,3,36.64
2021-04-17,2143.4,547.98,150.94,3,37.03
2021-04-18,2056.2,539.24,139.51,4,35.79
2021-04-19,2100.7,539.45,144.56,4,36.24
2021-04-20,2080.5,537.58,149.75,6,36.84
2021-04-21,2037.7,528.13,143.38,3,35.39
2021-04-22,2079.8,537.36,142.46,3,35.92
2021-04-23,2114.1,537.55,141.64,3,36.31
2021-04-24,2114.5,549.31,141.85,3,37.15
2021-04-25,2061.3,535.76,146.19,2,35.62
2021-04-26,2065.1,537.95,135.12,6,36.78
2021-04-27,2092.5,535.98,146.05,5,36.78
2021-04-28,2026.5,530.01,136.87,3,35.96
2021-04-29,2109.8,541.26,140.03,4,36.91
2021-04-30,2081.2,538.99,139.24,2,36.13
2021-05-01,2057.5,538.85,141.99,3,35.55
2021-05-02,2029.1,530.01,135.13,4,35.5
2021-05-03,2121.4,541.22,141.02,3,36.01
2021-05-04,2071.5,526.83,145.41,6,36.71
2021-05-05,2104.3,536.4,134.96,4,36.05
2021-05-06,2134.0,544.04,139.33,3,36.55
2021-05-07,2090.2,527.74,136.49,4,36.36
2021-05-08,2059.8,529.46,139.48,2,35.76
2021-05-09,2012.1,532.38,137.98,3,34.58
2021-05-10,2072.7,528.95,135.73,3,35.34
2021-05-11,2114.9,523.28,138.85,3,36.29
2021-05-12,2080.6,530.94,142.53,4,36.28
2021-05-13,2010.1,524.84,136.28,3,35.17
2021-05-14,2058.7,532.06,138.76,4,36.56
2021-05-15,2047.3,524.63,132.47,3,35.04
2021-05-16,2043.8,536.5,133.23,3,35.31
2021-05-17,1997.0,524.35,137.27,5,35.5
2021-05-18,2066.9,526.17,140.06,2,34.42
2021-05-19,2050.3,531.35,136.44,2,35.23
2021-05-20,2093.6,520.62,134.2,3,35.55
2021-05-21,2063.4,527.39,134.91,3,35.33
2021-05-22,2072.0,532.27,130.94,2,34.99
2021-05-23,2045.3,517.17,136.28,4,35.71
2021-05-24,2064.5,525.59,136.9,3,35.28
2021-05-25,2012.2,525.42,132.69,3,35.27
2021-05-26,2030.1,527.48,132.43,6,36.74
2021-05-27,2071.3,516.82,134.44,3,35.41
2021-05-28,2043.3,515.84,132.13,5,35.94
2021-05-29,2042.9,524.48,133.06,2,35.08
2021-05-30,2075.0,522.77,139.37,3,35.63
2021-05-31,2059.9,521.96,132.15,5,36.84
2021-06-01,2095.8,521.84,131.64,3,35.92
2021-06-02,2039.4,516.11,130.6,4,36.1
2021-06-03,2022.8,520.07,134.61,3,35.43
2021-06-04,2040.1,519.77,131.67,2,34.39
2021-06-05,2046.6,514.11,130.11,3,35.06
2021-06-06,2086.2,526.4,135.88,3,35.77
2021-06-07,2009.9,518.81,136.03,5,36.21
2021-06-08,2030.8,509.86,129.83,2,35.47
2021-06-09,2007.1,518.46,125.9,6,36.04
2021-06-10,2019.1,509.67,134.39,6,36.22
2021-06-11,2056.3,517.83,129.19,2,35.34
2021-06-12,2064.2,519.04,133.5,3,35.48
2021-06-13,1996.0,508.49,125.11,5,36.25
2021-06-14,2038.4,516.76,133.59,6,35.92
2021-06-15,2011.0,513.35,127.18,3,35.26
2021-06-16,2110.2,514.73,132.91,3,36.07
2021-06-17,2047.5,519.44,130.67,3,35.83
2021-06-18,1996.5,508.06,127.69,4,35.22
2021-06-19,2048.8,504.85,129.25,3,35.52
2021-06-20,2054.1,503.5,132.46,4,35.49
2021-06-21,2060.9,503.19,130.65,2,34.51
2021-06-22,2075.6,506.21,132.03,2,34.62
2021-06-23,2051.4,507.62,136.15,3,34.65
2021-06-24,2002.1,506.62,125.48,3,34.64
2021-06-25,2027.9,508.68,134.98,3,35.18
2021-06-26,2009.4,503.93,130.41,3,34.75
2021-06-27,2010.3,510.45,127.37,3,35.02
2021-06-28,2034.8,501.17,126.05,2,35.09
2021-06-29,2032.0,515.41,129.45,3,34.98
2021-06-30,2046.2,504.25,132.77,6,37.27
2021-07-01,2020.4,496.14,129.62,3,35.11
2021-07-02,1983.2,494.39,134.53,3,34.4
2021-07-03,1960.6,501.47,125.65,3,34.32
2021-07-04,1974.9,497.25,129.98,6,35.25
2021-07-05,1993.8,501.25,126.28,2,34.26
2021-07-06,2014.7,499.36,131.15,4,34.34
2021-07-07,1993.2,495.94,132.75,4,35.49
2021-07-08,2012.4,491.39,128.86,4,33.94
2021-07-09,1962.6,487.36,122.35,2,33.83
2021-07-10,2006.1,492.02,130.8,4,34.57
2021-07-11,2012.9,497.86,131.57,2,34.09
2021-07-12,2047.4,493.97,131.53,3,34.76
2021-07-13,1972.8,485.99,134.09,4,35.44
2021-07-14,2048.3,492.41,127.24,2,34.13
2021-07-15,1989.5,492.8,132.57,5,35.67
2021-07-16,1963.6,485.79,134.19,2,34.26
2021-07-17,1980.8,490.31,125.36,5,34.27
2021-07-18,2078.3,489.17,131.75,3,34.92
2021-07-19,2004.9,482.51,129.37,2,34.67
2021-07-20,2010.6,489.35,130.75,2,33.7
2021-07-21,2018.7,489.72,132.14,6,36.38
2021-07-22,1977.8,491.68,129.75,2,33.99
2021-07-23,2003.1,490.89,129.31,2,34.16
2021-07-24,1980.3,478.09,131.57,3,34.24
2021-07-25,2021.4,479.66,128.33,4,35.1
2021-07-26,1983.7,486.29,128.48,3,33.98
2021-07-27,1986.9,485.66,133.91,2,33.88
2021-07-28,1955.6,485.04,128.58,3,34.27
2021-07-29,2023.5,501.12,134.18,2,34.58
2021-07-30,2000.9,484.1,133.72,2,34.21
2021-07-31,1954.1,486.31,127.32,3,33.84
2021-08-01,1999.8,484.81,130.64,4,35.12
2021-08-02,2002.7,482.7,136.43,2,34.11
2021-08-03,2001.4,477.28,130.08,3,33.74
2021-08-04,2017.0,482.07,131.81,3,34.35
2021-08-05,1982.7,473.84,134.78,6,35.01
2021-08-06,1959.9,475.95,135.94,6,34.86
2021-08-07,1956.5,474.15,133.03,5,34.57
2021-08-08,2023.1,476.43,132.2,2,34.38
2021-08-09,2011.6,487.04,138.47,2,33.95
2021-08-10,2021.3,465.59,139.63,3,34.44
2021-08-11,2004.3,477.83,137.57,3,34.43
2021-08-12,1987.8,465.81,135.11,3,33.78
2021-08-13,1995.3,471.0,132.66,4,34.49
2021-08-14,1952.5,478.29,132.82,5,35.14
2021-08-15,1990.9,472.67,137.12,5,35.08
2021-08-16,1942.9,466.46,137.04,3,33.96
2021-08-17,1975.0,467.79,140.24,4,34.93
2021-08-18,2003.9,474.29,138.23,3,34.52
2021-08-19,1938.6,466.77,132.03,2,32.54
2021-08-20,2000.4,471.05,139.95,4,34.78
2021-08-21,1935.3,469.74,134.06,2,33.08
2021-08-22,1999.6,465.82,136.16,3,34.91
2021-08-23,1979.1,479.36,138.33,3,34.38
2021-08-24,1969.1,471.39,143.84,4,34.18
2021-08-25,1945.6,457.68,147.46,4,34.26
2021-08-26,1968.5,468.34,140.23,3,34.01
2021-08-27,1924.1,463.7,138.14,5,33.66
2021-08-28,1973.8,470.89,140.58,3,34.4
2021-08-29,2004.8,462.29,141.93,3,34.01
2021-08-30,1970.4,465.31,138.59,4,34.91
2021-08-31,1963.1,468.06,145.24,4,34.28
2021-09-01,1991.6,469.52,140.84,6,35.95
2021-09-02,1975.6,458.85,141.94,2,33.66
2021-09-03,2028.7,462.86,142.75,4,35.16
2021-09-04,1997.2,461.84,142.33,4,34.31
2021-09-05,1986.4,460.65,143.89,5,34.94
2021-09-06,2011.0,472.45,139.83,2,33.28
2021-09-07,1975.3,465.37,140.32,4,34.33
2021-09-08,1961.3,456.77,139.01,3,33.15
2021-09-09,2030.5,467.4,143.95,3,34.0
2021-09-10,1959.5,473.18,145.29,3,33.62
2021-09-11,2014.7,467.49,144.65,3,34.59
2021-09-12,1976.2,454.51,148.62,3,33.77
2021-09-13,1969.7,459.47,143.91,5,34.66
2021-09-14,1980.7,468.02,146.26,3,34.0
2021-09-15,1973.4,457.96,141.31,4,34.69
2021-09-16,1981.7,463.53,143.76,3,34.01
2021-09-17,1981.8,465.02,147.34,2,33.73
2021-09-18,1963.2,456.35,148.13,2,33.12
2021-09-19,1933.3,460.54,145.04,3,34.03
2021-09-20,1940.7,444.5,146.04,3,33.88
2021-09-21,1954.5,455.46,142.04,2,33.25
2021-09-22,1984.3,459.21,145.87,3,33.73
2021-09-23,2030.2,454.13,149.95,3,33.61
2021-09-24,1986.0,468.45,149.34,3,33.77
2021-09-25,1952.9,453.06,149.46,3,32.75
2021-09-26,1966.0,457.94,148.45,2,33.03
2021-09-27,1992.3,460.75,148.67,5,34.99
2021-09-28,2009.6,467.26,147.01,5,35.07
2021-09-29,2000.3,452.84,151.43,4,35.32
2021-09-30,2021.3,465.82,150.94,2,33.81
2021-10-01,2017.3,460.05,151.5,4,34.46
2021-10-02,1973.3,455.1,148.79,5,35.04
2021-10-03,2033.3,462.34,144.25,4,34.03
2021-10-04,1991.4,461.05,154.34,2,33.05
2021-10-05,1988.3,457.1,149.96,4,34.63
2021-10-06,2021.4,460.5,149.15,5,35.0
2021-10-07,2009.9,458.29,154.16,3,34.08
2021-10-08,1937.8,460.86,151.25,4,33.64
2021-10-09,2007.6,463.69,155.94,3,34.31
2021-10-10,2034.1,468.42,154.96,3,34.18
2021-10-11,1959.0,454.41,155.5,2,33.32
2021-10-12,2025.2,471.39,149.69,4,34.41
2021-10-13,2001.9,451.1,157.76,2,33.51
2021-10-14,2030.4,460.25,155.24,3,35.16
2021-10-15,1986.2,464.11,153.68,3,33.88
2021-10-16,2030.1,462.74,155.55,3,34.33
2021-10-17,1991.9,458.4,150.13,2,33.53
2021-10-18,2049.2,460.67,157.01,4,34.97
2021-10-19,2064.9,459.45,153.03,4,35.2
2021-10-20,2032.0,459.18,152.38,2,34.05
2021-10-21,2016.3,466.61,152.2,2,34.04
2021-10-22,2075.5,464.38,160.43,2,34.3
2021-10-23,2015.2,459.38,155.52,5,35.05
2021-10-24,2003.4,467.6,162.33,3,34.16
2021-10-25,2009.3,464.91,156.44,3,33.52
2021-10-26,2027.1,467.72,153.24,2,35.08
2021-10-27,2031.9,467.1,155.32,4,35.15
2021-10-28,1987.4,460.11,162.69,5,34.41
2021-10-29,1982.9,461.77,158.82,5,34.88
2021-10-30,2010.3,468.63,157.94,4,34.17
2021-10-31,2036.5,468.28,160.37,2,33.92
2021-11-01,2038.2,465.47,161.69,2,33.49
2021-11-02,2031.0,466.52,163.83,2,34.03
2021-11-03,2018.4,472.69,165.12,3,33.8
2021-11-04,2059.0,463.71,159.98,2,34.38
2021-11-05,1992.6,469.79,157.37,3,34.46
2021-11-06,2053.0,466.44,160.39,3,34.29
2021-11-07,2044.0,466.77,162.69,5,35.42
2021-11-08,2061.2,473.77,159.29,4,34.84
2021-11-09,2017.3,472.82,159.58,5,35.44
2021-11-10,2033.7,473.2,163.75,4,34.69
2021-11-11,2041.2,476.1,162.84,2,34.59
2021-11-12,2020.0,470.13,163.34,4,34.09
2021-11-13,2038.9,473.89,161.22,3,34.22
2021-11-14,2069.7,469.4,163.06,4,34.76
2021-11-15,1999.6,473.05,161.22,3,34.37
2021-11-16,2024.3,471.26,166.91,6,35.89
2021-11-17,2025.4,472.89,167.59,3,34.61
2021-11-18,2029.8,475.89,159.18,3,34.37
2021-11-19,2024.9,469.33,162.16,5,34.12
2021-11-20,2067.3,484.4,160.68,2,34.62
2021-11-21,2031.9,469.43,163.44,4,35.21
2021-11-22,2041.7,468.93,165.36,4,36.04
2021-11-23,2054.9,481.33,161.48,5,35.49
2021-11-24,2052.7,480.05,163.27,6,35.76
2021-11-25,2063.7,479.76,163.22,6,36.23
2021-11-26,2051.6,480.35,167.06,2,34.32
2021-11-27,2091.4,477.71,166.84,5,36.41
2021-11-28,2103.6,473.86,164.65,4,35.21
2021-11-29,2071.7,479.31,167.53,4,35.26
2021-11-30,2051.0,476.13,165.54,2,34.7
2021-12-01,2076.2,484.99,166.54,4,35.61
2021-12-02,2037.5,479.98,172.54,6,36.36
2021-12-03,2063.7,477.19,171.71,5,35.49
2021-12-04,2030.1,480.32,163.94,3,35.15
2021-12-05,2080.6,484.61,170.48,2,34.05
2021-12-06,2043.5,480.35,170.58,3,34.1
2021-12-07,2040.6,479.68,164.84,5,36.03
2021-12-08,2023.4,485.64,170.88,4,35.07
2021-12-09,2046.4,486.29,173.17,3,35.23
2021-12-10,2064.2,483.17,165.31,2,34.6
2021-12-11,2036.4,483.99,166.05,3,34.75
2021-12-12,2102.8,488.16,171.97,3,34.81
2021-12-13,2036.4,480.41,169.84,5,35.49
2021-12-14,2074.8,481.27,170.78,4,35.96
2021-12-15,2049.5,485.37,170.25,3,34.9
2021-12-16,2083.5,488.56,170.49,3,35.47
2021-12-17,2030.2,491.85,165.42,2,34.68
2021-12-18,2081.4,498.34,172.62,6,36.12
2021-12-19,2068.9,495.92,173.07,3,35.53
2021-12-20,2097.2,491.51,168.94,3,35.22
2021-12-21,2090.0,492.89,169.56,3,35.21
2021-12-22,2032.5,488.65,165.15,4,36.03
2021-12-23,2079.0,494.25,171.34,4,35.88
2021-12-24,2064.2,493.58,171.56,4,35.26
2021-12-25,2109.1,497.32,169.7,3,35.56
2021-12-26,2116.8,492.26,173.29,3,35.53
2021-12-27,2051.4,499.67,168.94,2,35.38
2021-12-28,2122.1,505.43,171.66,4,36.17
2021-12-29,2060.1,497.91,166.93,2,35.63
2021-12-30,2085.2,501.15,169.92,3,34.88
2021-12-31,2094.7,503.28,169.48,5,36.29
2022-01-01,2134.8,498.68,170.67,5,36.25
2022-01-02,2066.4,502.5,168.88,3,35.07
2022-01-03,2113.2,502.13,169.58,3,35.45
2022-01-04,2070.4,503.24,172.43,2,34.63
2022-01-05,2055.6,499.57,168.62,4,36.23
2022-01-06,2087.2,504.24,165.07,5,36.83
2022-01-07,2111.7,507.3,175.1,2,35.46
2022-01-08,2046.2,512.74,173.96,3,35.07
2022-01-09,2127.2,510.96,165.88,5,36.41
2022-01-10,2066.5,517.61,171.77,5,36.59
2022-01-11,2088.2,503.69,168.13,2,35.18
2022-01-12,2142.8,512.56,170.37,3,35.97
2022-01-13,2160.7,509.79,170.38,2,35.95
2022-01-14,2109.1,520.49,168.72,2,35.84
2022-01-15,2057.4,506.17,166.99,5,35.99
2022-01-16,2126.6,506.67,167.18,5,36.3
2022-01-17,2117.2,508.53,166.4,4,35.64
2022-01-18,2073.2,501.57,166.55,2,35.01
2022-01-19,2087.4,510.21,168.74,5,37.22
2022-01-20,2080.0,509.7,166.68,3,35.04
2022-01-21,2105.2,514.89,170.76,3,36.2
2022-01-22,2128.7,516.49,173.05,3,35.71
2022-01-23,2106.5,524.8,166.71,2,35.33
2022-01-24,2108.3,520.8,169.04,4,36.64
2022-01-25,2126.1,513.79,169.68,3,35.81
2022-01-26,2071.0,512.81,169.45,2,35.16
2022-01-27,2107.4,520.38,168.11,2,35.56
2022-01-28,2065.9,511.93,169.95,2,34.74
2022-01-29,2133.2,528.29,169.01,2,36.15
2022-01-30,2067.3,525.64,163.68,3,35.6
2022-01-31,2138.9,517.99,169.83,5,36.33
2022-02-01,2075.1,512.36,169.71,2,34.73
2022-02-02,2077.2,528.28,164.57,2,34.1
2022-02-03,2106.8,521.51,166.79,3,35.9
2022-02-04,2173.1,528.84,168.53,5,37.84
2022-02-05,2122.0,515.25,165.66,3,35.49
2022-02-06,2071.7,520.78,169.3,3,35.82
2022-02-07,2098.9,524.35,172.97,3,36.03
2022-02-08,2104.4,525.1,163.31,3,35.61
2022-02-09,2163.3,523.15,161.31,2,36.57
2022-02-10,2102.4,529.04,166.14,4,36.25
2022-02-11,2092.7,521.11,167.17,4,36.96
2022-02-12,2155.7,526.25,164.08,3,35.69
2022-02-13,2134.8,528.07,168.9,4,36.49
2022-02-14,2142.7,530.54,160.29,4,36.64
2022-02-15,2112.1,532.01,166.14,2,35.66
2022-02-16,2106.4,523.31,161.99,3,36.19
2022-02-17,2152.9,521.73,168.72,2,37.21
2022-02-18,2139.3,536.25,169.28,2,36.14
2022-02-19,2147.5,531.98,160.75,4,36.77
2022-02-20,2122.5,527.02,161.14,5,36.45
2022-02-21,2112.6,538.95,165.1,6,36.63
2022-02-22,2120.1,532.2,161.09,4,37.01
2022-02-23,2155.1,537.94,161.84,2,35.89
2022-02-24,2139.5,532.78,161.77,2,36.95
2022-02-25,2125.0,543.15,155.66,5,37.49
2022-02-26,2087.9,542.01,161.09,3,36.17
2022-02-27,2071.2,532.37,158.77,4,36.31
2022-02-28,2086.8,538.84,159.07,4,36.54
2022-03-01,2122.8,537.56,164.59,4,36.37
2022-03-02,2115.2,541.53,156.19,5,36.34
2022-03-03,2082.6,530.2,162.1,2,35.19
2022-03-04,2150.8,538.78,158.52,4,36.88
2022-03-05,2096.3,540.96,158.22,5,36.63
2022-03-06,2078.7,527.18,161.12,3,35.22
2022-03-07,2116.6,530.35,159.46,4,36.19
2022-03-08,2133.6,526.36,159.83,3,36.58
2022-03-09,2176.0,535.48,160.71,6,38.14
2022-03-10,2138.6,540.68,156.5,2,36.09
2022-03-11,2167.4,544.85,155.33,3,36.95
2022-03-12,2083.8,537.95,153.59,2,35.09
2022-03-13,2181.0,545.96,154.05,4,36.92
2022-03-14,2080.2,531.13,165.04,2,35.53
2022-03-15,2101.2,529.72,159.6,2,35.15
2022-03-16,2124.2,538.16,151.49,3,36.31
2022-03-17,2073.2,540.54,151.24,5,36.19
2022-03-18,2097.4,538.63,156.32,2,35.0
2022-03-19,2078.1,528.62,156.18,2,35.65
2022-03-20,2111.9,538.66,155.85,4,36.99
2022-03-21,2140.8,532.72,153.1,3,36.07
2022-03-22,2120.8,542.72,153.15,5,36.5
2022-03-23,2108.8,541.32,154.17,2,34.91
2022-03-24,2036.4,534.89,153.11,4,36.65
2022-03-25,2109.0,537.11,145.85,2,35.77
2022-03-26,2124.4,534.47,151.48,2,35.57
2022-03-27,2065.3,539.52,149.27,4,36.07
2022-03-28,2119.3,544.67,152.01,3,35.56
2022-03-29,2127.5,535.01,160.09,4,36.89
2022-03-30,2141.6,542.49,151.9,3,37.27
2022-03-31,2086.9,537.34,149.51,3,35.64
2022-04-01,2087.9,536.04,152.87,3,36.9
2022-04-02,2100.2,539.46,151.21,6,37.25
2022-04-03,2135.7,534.81,150.68,3,36.97
2022-04-04,2133.7,537.19,150.9,3,36.45
2022-04-05,2110.2,533.93,154.9,3,36.21
2022-04-06,2140.0,549.69,145.0,3,37.3
2022-04-07,2049.7,539.99,149.47,3,36.01
2022-04-08,2114.0,536.24,144.93,5,37.11
2022-04-09,2081.2,540.72,149.03,3,35.18
2022-04-10,2141.2,538.99,144.27,5,36.61
2022-04-11,2071.8,538.34,145.43,2,35.63
2022-04-12,2083.2,542.4,145.46,4,36.99
2022-04-13,2126.4,542.98,148.93,5,37.21
2022-04-14,2117.9,536.4,148.42,2,35.55
2022-04-15,2076.1,536.02,141.6,6,36.31
2022-04-16,2105.6,537.35,145.17,3,35.79
2022-04-17,2088.0,527.04,142.54,5,36.66
2022-04-18,2087.1,530.79,140.56,4,35.92
2022-04-19,2094.1,545.0,143.36,3,35.74
2022-04-20,2117.4,546.18,142.76,2,35.91
2022-04-21,2141.2,536.48,150.64,3,36.96
2022-04-22,2068.6,540.38,144.33,2,35.73
2022-04-23,2064.4,538.8,138.58,2,35.51
2022-04-24,2110.7,552.39,140.7,2,36.05
2022-04-25,2077.4,542.32,145.14,3,36.17
2022-04-26,2054.7,535.81,148.02,4,36.03
2022-04-27,2097.8,531.38,136.69,2,35.39
2022-04-28,2007.0,527.83,135.5,2,35.07
2022-04-29,2087.7,536.57,146.44,4,36.26
2022-04-30,2099.5,531.45,141.69,2,35.09
2022-05-01,2073.6,527.78,137.62,2,35.88
2022-05-02,2070.4,531.32,141.53,2,34.58
2022-05-03,2029.2,528.8,131.72,5,36.77
2022-05-04,2100.7,542.28,139.35,5,37.14
2022-05-05,2062.2,537.88,140.03,3,35.38
2022-05-06,2089.3,533.05,141.53,4,36.32
2022-05-07,2084.5,540.1,135.44,3,35.81
2022-05-08,2079.7,532.68,138.46,4,36.55
2022-05-09,2045.7,527.58,135.15,4,36.19
2022-05-10,2136.3,539.08,138.42,4,36.96
2022-05-11,2078.9,533.73,134.7,3,36.14
2022-05-12,2052.9,525.41,135.89,2,35.06
2022-05-13,2068.1,529.2,133.87,3,36.39
2022-05-14,2045.7,525.31,138.55,5,36.73
2022-05-15,2051.7,522.31,138.92,3,35.26
2022-05-16,2130.7,533.38,135.39,5,37.37
2022-05-17,2059.5,537.82,135.96,6,37.23
2022-05-18,2041.8,520.79,131.26,2,34.84
2022-05-19,2052.7,530.09,134.47,4,35.84
2022-05-20,2029.3,523.52,134.99,4,36.17
2022-05-21,2081.8,523.82,142.77,6,36.91
2022-05-22,2047.8,522.77,131.35,6,36.73
2022-05-23,2081.8,520.88,138.86,4,36.63
2022-05-24,2082.1,524.91,137.25,2,36.34
2022-05-25,2072.2,519.96,134.89,4,35.77
2022-05-26,2042.7,524.92,139.12,2,34.93
2022-05-27,2069.7,522.76,134.76,4,36.03
2022-05-28,2067.7,521.25,134.61,5,36.4
2022-05-29,2016.7,517.33,133.09,3,35.24
2022-05-30,2043.1,518.41,136.74,4,35.52
2022-05-31,2022.7,524.48,136.18,3,34.74
2022-06-01,2062.3,522.62,130.83,3,36.24
2022-06-02,2045.7,514.63,128.58,3,35.53
2022-06-03,2078.4,519.41,131.77,4,35.85
2022-06-04,2037.0,522.06,129.82,5,36.3
2022-06-05,2039.0,509.34,131.87,5,36.69
2022-06-06,2075.6,519.78,135.62,2,34.89
2022-06-07,2011.6,513.13,130.4,5,35.87
2022-06-08,2018.4,518.67,131.5,4,34.97
2022-06-09,2012.3,511.36,131.67,3,34.92
2022-06-10,2017.4,505.51,133.91,2,34.77
2022-06-11,1985.9,505.76,124.51,3,34.23
2022-06-12,2011.9,513.49,129.31,5,35.72
2022-06-13,2056.2,513.9,131.65,4,36.08
2022-06-14,2027.7,507.42,134.51,4,35.67
2022-06-15,2038.1,514.48,129.34,3,34.76
2022-06-16,1989.9,502.31,125.09,4,35.2
2022-06-17,2014.0,509.63,132.49,2,34.78
2022-06-18,2019.3,503.23,128.64,3,34.95
